St  Name                           Version                        Arch   Description                                                  Licenses
ii  gcc-4.8-base:armhf             4.8.5-4                        armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.9-base:armhf             4.9.3-14                       armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-5-base:armhf               5.4.1-4                        armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C compiler                                               Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-6-base:armhf               6.3.0-18+rpi1+deb9u1           armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-avr                        1:5.4.0+Atmel3.6.1-1~rpt1      armhf  GNU C compiler (cross compiler for avr)                      GPL GPL-3
ii  gdb                            7.12-6                         armhf  GNU Debugger                                                 BSD-3-clause GPL-2+ GPL-3+ GPL-3+ with GCC-Runtime-3.1 exception LGPL-2+ LGPL-2.1+
ii  geoip-database                 20170512-1                     all    IP lookup command line tools that use the GeoIP library (cou OpenDataLicense
ii  gettext-base                   0.19.8.1-2+deb9u1              armhf  GNU Internationalization utilities for the base system       GFDL GPL LGPL
ii  gir1.2-glib-2.0:armhf          1.50.0-1                       armhf  Introspection data for GLib, GObject, Gio and GModule        BSD-2-clause GPL-2+ LGPL-2+ MIT
ii  git                            1:2.11.0-3+deb9u7              armhf  fast, scalable, distributed revision control system          Apache-2.0 BSD-2-clause Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
ii  git-man                        1:2.11.0-3+deb9u7              all    fast, scalable, distributed revision control system (manual  Apache-2.0 BSD-2-clause Boost EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ dlmalloc mingw-runtime
ii  gnupg                          2.1.18-8~deb9u4                armhf  GNU privacy guard - a free PGP replacement                   BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gnupg-agent                    2.1.18-8~deb9u4                armhf  GNU privacy guard - cryptographic agent                      BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  gnutls-bin                     3.5.8-5+deb9u5                 armhf  GNU TLS library - commandline utilities                      GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  gpgv                           2.1.18-8~deb9u4                armhf  GNU privacy guard - signature verification tool              BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ RFC-Reference TinySCHEME permissive
ii  grep                           2.27-2                         armhf  GNU grep, egrep and fgrep                                    GPL-3+
ii  groff-base                     1.22.3-9                       armhf  GNU troff text-formatting system (base system components)    GFDL-1.3 GPL-3
ii  gzip                           1.6-5                          armhf  GNU compression utilities                                    GPL
ii  hardlink                       0.3.0                          armhf  Hardlinks multiple copies of the same file                   Expat
ii  hostname                       3.18                           armhf  utility to set/show the host name or domain name             GPL-2
ii  htop                           2.0.2-1                        armhf  interactive processes viewer                                 GPL-2+
ii  ifupdown                       0.8.19                         armhf  high level tools to configure network interfaces             GPL-2+
ii  info                           6.3.0.dfsg.1-1+b1              armhf  Standalone GNU Info documentation browser                    GPL-3
ii  init                           1.48                           armhf  metapackage ensuring an init system is installed             BSD-3-clause GPL-2+
ii  init-system-helpers            1.48                           all    helper tools for all init systems                            BSD-3-clause GPL-2+
ii  initramfs-tools                0.130                          all    generic modular initramfs generator (automation)             GPL-2
ii  initramfs-tools-core           0.130                          all    generic modular initramfs generator (core tools)             GPL-2
