St  Name                           Version                        Arch   Description                                                  Licenses
ii  libsm6:armhf                   2:1.2.2-1+b1                   armhf  X11 Session Management library                               unknown
ii  libsmartcols1:armhf            2.29.2-1+deb9u1                armhf  smart column output alignment library                        BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libsnappy1v5:armhf             1.1.3-3                        armhf  fast compression/decompression library                       unknown
ii  libsndfile1:armhf              1.0.27-3+deb9u1                armhf  Library for reading/writing audio files                      LGPL-2.1+
ii  libsndfile1-dev                1.0.27-3+deb9u1                armhf  Development files for libsndfile; a library for reading/writ LGPL-2.1+
ii  libsndio6.1:armhf              1.1.0-3                        armhf  Small audio and MIDI framework from OpenBSD, runtime librari ISC ISC-packaging
ii  libsodium18:armhf              1.0.11-2                       armhf  Network communication, cryptography and signaturing library  BSD-2-clause CC0 GPL-2+ ISC MIT public-domain
ii  libsox-fmt-alsa:armhf          14.4.1-5+deb9u2                armhf  SoX alsa format I/O library                                  GPL-2 LGPL-2.1
ii  libsox-fmt-base:armhf          14.4.1-5+deb9u2                armhf  Minimal set of SoX format libraries                          GPL-2 LGPL-2.1
ii  libsox-fmt-mp3:armhf           14.4.1-5+deb9u2                armhf  SoX MP2 and MP3 format library                               GPL-2 LGPL-2.1
ii  libsox2:armhf                  14.4.1-5+deb9u2                armhf  SoX library of audio effects and processing                  GPL-2 LGPL-2.1
ii  libsoxr0:armhf                 0.1.2-2                        armhf  High quality 1D sample-rate conversion library               BSD-3-clause LGPL-2.1+ Spherepack permissive1 permissive2
ii  libspeex1:armhf                1.2~rc1.2-1                    armhf  The Speex codec runtime library                              unknown
ii  libsqlite3-0:armhf             3.16.2-5+deb9u3                armhf  SQLite 3 shared library                                      GPL-2+ public-domain
ii  libss2:armhf                   1.43.4-2+deb9u2                armhf  command-line interface parsing library                       unknown
ii  libssh-gcrypt-4:armhf          0.7.3-2+deb9u3                 armhf  tiny C SSH library (gcrypt flavor)                           BSD-2-clause BSD-3-clause LGPL-2.1 LGPL-2.1+~OpenSSL LGPL-2.1+~OpenSSL or BSD-2-clause or BSD-3-clause public-domain
ii  libssh2-1:armhf                1.7.0-1+deb9u1                 armhf  SSH2 client-side library                                     BSD3
ii  libssl-dev:armhf               1.1.0l-1~deb9u3                armhf  Secure Sockets Layer toolkit - development files             BSD-style
ii  libssl-doc                     1.1.0l-1~deb9u3                all    Secure Sockets Layer toolkit - development documentation     BSD-style
ii  libssl1.0.2:armhf              1.0.2u-1~deb9u4                armhf  Secure Sockets Layer toolkit - shared libraries              BSD-style
ii  libssl1.1:armhf                1.1.0l-1~deb9u3                armhf  Secure Sockets Layer toolkit - shared libraries              BSD-style
ii  libstdc++-6-dev:armhf          6.3.0-18+rpi1+deb9u1           armhf  GNU Standard C++ Library v3 (development files)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libstdc++6:armhf               6.3.0-18+rpi1+deb9u1           armhf  GNU Standard C++ Library v3                                  Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libswresample2:armhf           7:3.2.15-0+deb9u2              armhf  FFmpeg library for audio resampling, rematrixing etc. - runt BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libswscale4:armhf              7:3.2.15-0+deb9u2              armhf  FFmpeg library for image scaling and various conversions - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libsysfs2:armhf                2.1.0+repack-4                 armhf  interface library to sysfs                                   GPL LGPL
ii  libsystemd0:armhf              232-25+deb9u12                 armhf  systemd utility library                                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libtasn1-6:armhf               4.10-1.1+deb9u1                armhf  Manage ASN.1 structures (runtime)                            GFDL-1.3 GPL-3 LGPL LGPL-2.1
ii  libtext-charwidth-perl         0.04-7+b7                      armhf  get display widths of characters on the terminal             Artistic GPL-2
ii  libtext-iconv-perl             1.7-5+b8                       armhf  converts between character sets in Perl                      Artistic GPL-2
ii  libtext-wrapi18n-perl          0.06-7.1                       all    internationalized substitute of Text::Wrap                   Artistic GPL
ii  libtheora0:armhf               1.1.1+dfsg.1-14                armhf  Theora Video Compression Codec                               unknown
ii  libtinfo-dev:armhf             6.0+20161126-1+deb9u2          armhf  developer's library for the low-level terminfo library       unknown
ii  libtinfo5:armhf                6.0+20161126-1+deb9u2          armhf  shared low-level terminfo library for terminal handling      unknown
ii  libtirpc1:armhf                0.2.5-1.2+deb9u1               armhf  transport-independent RPC library                            GPL-2
ii  libtool                        2.4.6-2                        all    Generic library support script                               GFDL GPL
ii  libtwolame0:armhf              0.3.13-2                       armhf  MPEG Audio Layer 2 encoding library                          LGPL-2+
ii  libtxc-dxtn-s2tc:armhf         1.0+git20151227-2              armhf  Texture compression library for Mesa                         Expat
ii  libubsan0:armhf                6.3.0-18+rpi1+deb9u1           armhf  UBSan -- undefined behaviour sanitizer (runtime)             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libudev0:armhf                 175-7.2                        armhf  libudev shared library                                       GPL-2 LGPL-2.1
ii  libudev1:armhf                 232-25+deb9u12                 armhf  libudev shared library                                       CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libunbound2:armhf              1.6.0-3+deb9u2                 armhf  library implementing DNS resolution and validation           BSD-2-VUT BSD-3-ADG BSD-3-CZ.NIC BSD-3-Farsight BSD-3-NLnetLabs BSD-3-NLnetLabs-Mekking BSD-3-Regents-DEC BSD-3-Todd-Miller BSD-3-VUT BSD-3-Viagénie BSD-3-WIDE GPL-3 GPL-3+ with Bison exception ISC public-domain
ii  libunistring0:armhf            0.9.6+really0.9.3-0.1          armhf  Unicode string library for C                                 GFDL-1.2+ GPL-2+ GPL-2+ with exception GPL-3+ GPL-3+ or GFDL-1.2+ LGPL-3+ MIT
ii  libusb-0.1-4:armhf             2:0.1.12-30                    armhf  userspace USB programming library                            LGPL-2
ii  libusb-1.0-0:armhf             2:1.0.21-1                     armhf  userspace USB programming library                            GPL-2 LGPL-2.1
ii  libustr-1.0-1:armhf            1.0.4-6                        armhf  Micro string library: shared library                         BSD-2-clause GPL-2+ LGPL-2+ LGPL-2+ or BSD-2-clause or MIT MIT
ii  libuuid-perl                   0.27-1                         armhf  Perl extension for using UUID interfaces as defined in e2fsp Artistic Artistic or GPL-1+ GPL-1+
ii  libuuid1:armhf                 2.29.2-1+deb9u1                armhf  Universally Unique ID library                                BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libuv1:armhf                   1.18.0-3~bpo9+1                armhf  asynchronous event notification library - runtime library    BSD-1-clause BSD-2-clause BSD-3-clause Expat ISC
ii  libv4l-0:armhf                 1.12.3-1                       armhf  Collection of video4linux support libraries                  GPL-2 LGPL
ii  libv4l2rds0:armhf              1.12.3-1                       armhf  Video4Linux Radio Data System (RDS) decoding library         GPL-2 LGPL
ii  libv4lconvert0:armhf           1.12.3-1                       armhf  Video4linux frame format conversion library                  GPL-2 LGPL
ii  libva-drm1:armhf               1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- DRM runtime         BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libva-x11-1:armhf              1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- X11 runtime         BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libva1:armhf                   1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- runtime             BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libvdpau-va-gl1:armhf          0.4.2-1                        armhf  VDPAU driver with OpenGL/VAAPI backend                       LGPL-3
ii  libvdpau1:armhf                1.1.1-6                        armhf  Video Decode and Presentation API for Unix (libraries)       Expat other
ii  libvorbis-dev:armhf            1.3.5-4+deb9u2                 armhf  development files for Vorbis General Audio Compression Codec unknown
ii  libvorbis0a:armhf              1.3.5-4+deb9u2                 armhf  decoder library for Vorbis General Audio Compression Codec   unknown
ii  libvorbisenc2:armhf            1.3.5-4+deb9u2                 armhf  encoder library for Vorbis General Audio Compression Codec   unknown
ii  libvorbisfile3:armhf           1.3.5-4+deb9u2                 armhf  high-level API for Vorbis General Audio Compression Codec    unknown
ii  libvpx4:armhf                  1.6.1-3+deb9u2                 armhf  VP8 and VP9 video codec (shared library)                     BSD-3-Clause ISC public-domain
ii  libwavpack1:armhf              5.0.0-2+deb9u3                 armhf  audio codec (lossy and lossless) - library                   public domain
ii  libwayland-client0:armhf       1.12.0-1+deb9u1                armhf  wayland compositor infrastructure - client library           X11
ii  libwayland-cursor0:armhf       1.12.0-1+deb9u1                armhf  wayland compositor infrastructure - cursor library           X11
ii  libwayland-egl1-mesa:armhf     13.0.6-1+rpi2                  armhf  implementation of the Wayland EGL platform -- runtime        GPL LGPL
ii  libwayland-server0:armhf       1.12.0-1+deb9u1                armhf  wayland compositor infrastructure - server library           X11
ii  libwebp6:armhf                 0.5.2-1                        armhf  Lossy compression of digital photographic images.            Apache-2.0
ii  libwebpmux2:armhf              0.5.2-1                        armhf  Lossy compression of digital photographic images.            Apache-2.0
ii  libwebsockets8:armhf           2.0.3-2+b1~rpt1                armhf  lightweight C websockets library                             BSD-1 BSD-3-Institute BSD-3-WIDE BSD-3-zlib BSD-4-UC Expat GPL-2+ LGPL-2.1
ii  libwrap0:armhf                 7.6.q-26                       armhf  Wietse Venema's TCP wrappers library                         unknown
ii  libx11-6:armhf                 2:1.6.4-3+deb9u3               armhf  X11 client-side library                                      MIT license
ii  libx11-data                    2:1.6.4-3+deb9u3               all    X11 client-side library                                      MIT license
ii  libx11-xcb1:armhf              2:1.6.4-3+deb9u3               armhf  Xlib/XCB interface library                                   MIT license
ii  libx264-148:armhf              2:0.148.2748+git97eaef2-1+rpi1 armhf  x264 video coding library                                    BSD-3-clause Expat GPL-2+ GPL-2+ with other exception ISC LGPL-2.1+ public-domain
ii  libx265-95:armhf               2.1-2                          armhf  H.265/HEVC video stream encoder (shared library)             GPL-2+ LGPL-2.1+
ii  libxapian30:armhf              1.4.3-2+deb9u3                 armhf  Search engine library                                        GPL-2
ii  libxau6:armhf                  1:1.0.8-1                      armhf  X11 authorisation library                                    unknown
ii  libxcb-dri2-0:armhf            1.12-1                         armhf  X C Binding, dri2 extension                                  unknown
ii  libxcb-dri3-0:armhf            1.12-1                         armhf  X C Binding, dri3 extension                                  unknown
ii  libxcb-glx0:armhf              1.12-1                         armhf  X C Binding, glx extension                                   unknown
ii  libxcb-present0:armhf          1.12-1                         armhf  X C Binding, present extension                               unknown
ii  libxcb-render0:armhf           1.12-1                         armhf  X C Binding, render extension                                unknown
ii  libxcb-shape0:armhf            1.12-1                         armhf  X C Binding, shape extension                                 unknown
ii  libxcb-shm0:armhf              1.12-1                         armhf  X C Binding, shm extension                                   unknown
ii  libxcb-sync1:armhf             1.12-1                         armhf  X C Binding, sync extension                                  unknown
ii  libxcb-xfixes0:armhf           1.12-1                         armhf  X C Binding, xfixes extension                                unknown
ii  libxcb1:armhf                  1.12-1                         armhf  X C Binding                                                  unknown
ii  libxcursor1:armhf              1:1.1.14-1+deb9u2              armhf  X cursor management library                                  unknown
ii  libxdamage1:armhf              1:1.1.4-2+b1                   armhf  X11 damaged region extension library                         unknown
ii  libxdmcp6:armhf                1:1.1.2-3                      armhf  X11 Display Manager Control Protocol library                 unknown
ii  libxext6:armhf                 2:1.3.3-1                      armhf  X11 miscellaneous extension library                          unknown
ii  libxfixes3:armhf               1:5.0.3-1                      armhf  X11 miscellaneous 'fixes' extension library                  unknown
ii  libxi6:armhf                   2:1.7.9-1                      armhf  X11 Input extension library                                  unknown
ii  libxinerama1:armhf             2:1.1.3-1+b1                   armhf  X11 Xinerama extension library                               unknown
ii  libxkbcommon0:armhf            0.7.1-2~deb9u1                 armhf  library interface to the XKB compiler - shared library       unknown
ii  libxml2:armhf                  2.9.4+dfsg1-2.2+deb9u3         armhf  GNOME XML library                                            unknown
ii  libxmuu1:armhf                 2:1.1.2-2                      armhf  X11 miscellaneous micro-utility library                      unknown
ii  libxrandr2:armhf               2:1.5.1-1                      armhf  X11 RandR extension library                                  unknown
ii  libxrender1:armhf              1:0.9.10-1                     armhf  X Rendering Extension client library                         unknown
ii  libxshmfence1:armhf            1.2-1                          armhf  X shared memory fences - shared library                      unknown
ii  libxss1:armhf                  1:1.2.2-1                      armhf  X11 Screen Saver extension library                           unknown
ii  libxtables12:armhf             1.6.0+snapshot20161117-6       armhf  netfilter xtables library                                    Artistic-2 GPL-2 GPL-2+ custom
ii  libxtst6:armhf                 2:1.2.3-1                      armhf  X11 Testing -- Record extension library                      unknown
ii  libxv1:armhf                   2:1.0.11-1                     armhf  X11 Video extension library                                  
ii  libxvidcore4:armhf             2:1.3.4-1                      armhf  Open source MPEG-4 video codec (library)                     GPL-2+ LGPL-2+
ii  libxxf86vm1:armhf              1:1.1.4-1                      armhf  X11 XFree86 video mode extension library                     unknown
ii  libyaml-tiny-perl              1.70-1                         all    Perl module for reading and writing YAML files               Artistic Artistic or GPL-1+ GPL-1+
ii  libzmq5:armhf                  4.2.1-4+deb9u4                 armhf  lightweight messaging kernel (shared library)                LGPL-2.0+ LGPL-3.0+ MIT
ii  libzvbi-common                 0.2.35-13                      all    Vertical Blanking Interval decoder (VBI) - common files      BSD-2-Clause BSD-3-Clause GPL-2 GPL-2 or GPL-2+ GPL-2+ GPL-2+ or BSD-3-Clause LGPL-2+ LGPL-2.1+ MIT
ii  libzvbi0:armhf                 0.2.35-13                      armhf  Vertical Blanking Interval decoder (VBI) - runtime files     BSD-2-Clause BSD-3-Clause GPL-2 GPL-2 or GPL-2+ GPL-2+ GPL-2+ or BSD-3-Clause LGPL-2+ LGPL-2.1+ MIT
ii  linux-base                     4.5                            all    Linux image base package                                     GPL-2
ii  linux-libc-dev:armhf           4.9.82-1+deb9u3+rpi1           armhf  Linux support headers for userspace development              CRYPTOGAMS GPL-2 LGPL-2.1 Unicode-data Xen-interface
ii  locales                        2.24-11+deb9u4                 all    GNU C Library: National Language (locale) data [support]     GPL-2 LGPL-2.1
ii  login                          1:4.4-4.1+deb9u1               armhf  system login tools                                           GPL-2
ii  logrotate                      3.11.0-0.1                     armhf  Log rotation utility                                         GPL-2
ii  lsb-base                       9.20161125+rpi1                all    Linux Standard Base init script functionality                BSD-3-clause GPL-2
ii  lsb-release                    9.20161125+rpi1                all    Linux Standard Base version reporting utility                BSD-3-clause GPL-2
ii  lua5.1                         5.1.5-8.1                      armhf  Simple, extensible, embeddable programming language          unknown
ii  luajit                         2.0.4+dfsg-1+deb9u1            armhf  Just in time compiler for Lua programming language version 5 MIT/X PD
ii  m4                             1.4.18-1                       armhf  macro processing language                                    GFDL GPL
ii  make                           4.1-9.1                        armhf  utility for directing compilation                            GPL-3+
ii  makedev                        2.3.1-93                       all    creates device files in /dev                                 GPL
ii  man-db                         2.7.6.1-2                      armhf  on-line manual pager                                         GPL-2+ GPL-3+
ii  manpages                       4.10-2                         all    Manual pages about using a GNU/Linux system                  BSD-3-clause BSD-4-clause Expat GPL-2 GPL-2+ LDPv1 freely-redistributable henry-spencer-regex public-domain verbatim
ii  manpages-dev                   4.10-2                         all    Manual pages about using GNU/Linux for development           BSD-3-clause BSD-4-clause Expat GPL-2 GPL-2+ LDPv1 freely-redistributable henry-spencer-regex public-domain verbatim
ii  mawk                           1.3.3-17                       armhf  a pattern scanning and text processing language              GPL-2
ii  mesa-va-drivers:armhf          13.0.6-1+rpi2                  armhf  Mesa VA-API video acceleration drivers                       GPL LGPL
ii  mesa-vdpau-drivers:armhf       13.0.6-1+rpi2                  armhf  Mesa VDPAU video acceleration drivers                        GPL LGPL
ii  mime-support                   3.60                           all    MIME files 'mime.types' & 'mailcap', and support programs    Bellcore ad-hoc
ii  mosquitto                      1.4.10-3+deb9u4                armhf  MQTT version 3.1/3.1.1 compatible message broker             BSD-1-clause EDL-1.0 EPL-1.0 EPL-1.0 or EDL-1.0
ii  mosquitto-clients              1.4.10-3+deb9u4                armhf  Mosquitto command line MQTT clients                          BSD-1-clause EDL-1.0 EPL-1.0 EPL-1.0 or EDL-1.0
ii  mount                          2.29.2-1+deb9u1                armhf  tools for mounting and manipulating filesystems              BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  mountall                       2.54                           armhf  filesystem mounting tool                                     GPL-2 LGPL-2+
ii  multiarch-support              2.24-11+deb9u4                 armhf  Transitional package to ensure multiarch compatibility       GPL-2 LGPL-2.1
ii  nano                           2.7.4-1                        armhf  small, friendly text editor inspired by Pico                 GFDL-NIV+ GFDL-NIV+ or GPL-3+ GPL-3+
ii  ncdu                           1.12-1                         armhf  ncurses disk usage viewer                                    GPL
ii  ncurses-base                   6.0+20161126-1+deb9u2          all    basic terminal type definitions                              unknown
ii  ncurses-bin                    6.0+20161126-1+deb9u2          armhf  terminal-related programs and man pages                      unknown
ii  ncurses-term                   6.0+20161126-1+deb9u2          all    additional terminal type definitions                         unknown
ii  net-tools                      1.60+git20161116.90da8a0-1     armhf  NET-3 networking toolkit                                     GPL-2
ii  netbase                        5.4                            all    Basic TCP/IP networking system                               GPL-2
ii  netcat-openbsd                 1.130-3                        armhf  TCP/IP swiss army knife                                      BSD-3-Clause
ii  netcat-traditional             1.10-41                        armhf  TCP/IP swiss army knife                                      unknown
ii  nfs-common                     1:1.3.4-2.1+deb9u1             armhf  NFS support files common to client and server                GPL-2
ii  ocaml-base-nox                 4.02.3-9+rpi1                  armhf  Runtime system for OCaml bytecode executables (no X)         GPL-2 LGPL-2
ii  ocaml-compiler-libs            4.02.3-9+rpi1                  armhf  OCaml interpreter and standard libraries                     GPL-2 LGPL-2
ii  ocaml-findlib                  1.6.2-1                        armhf  management tool for OCaml libraries                          findlib ocaml
ii  ocaml-interp                   4.02.3-9+rpi1                  armhf  OCaml interactive interpreter and standard libraries         GPL-2 LGPL-2
ii  ocaml-nox                      4.02.3-9+rpi1                  armhf  ML implementation with a class-based object system (no X)    GPL-2 LGPL-2
ii  openresolv                     3.8.0-1                        armhf  management framework for resolv.conf                         BSD-2-clause
ii  openssh-client                 1:7.4p1-10+deb9u7              armhf  secure shell (SSH) client, for secure access to remote machi BSD-3-clause Beer-ware CORE-SDI-BSD-style Expat-with-advertising-restriction GPL-2 with OpenSSH-linking exception Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssh-server                 1:7.4p1-10+deb9u7              armhf  secure shell (SSH) server, for secure access from remote mac BSD-3-clause Beer-ware CORE-SDI-BSD-style Expat-with-advertising-restriction GPL-2 with OpenSSH-linking exception Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssh-sftp-server            1:7.4p1-10+deb9u7              armhf  secure shell (SSH) sftp server module, for SFTP access from  BSD-3-clause Beer-ware CORE-SDI-BSD-style Expat-with-advertising-restriction GPL-2 with OpenSSH-linking exception Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  openssl                        1.1.0l-1~deb9u3                armhf  Secure Sockets Layer toolkit - cryptographic utility         BSD-style
ii  parted                         3.2-17                         armhf  disk partition manipulator                                   GPL-3
ii  passwd                         1:4.4-4.1+deb9u1               armhf  change and administer password and group data                GPL-2
ii  patch                          2.7.5-1+deb9u2                 armhf  Apply a diff file to an original                             GPL
ii  paxctld                        1.2.1-1                        armhf  Daemon to automatically set appropriate PaX flags            GPL-2
ii  perl                           5.24.1-3+deb9u7                armhf  Larry Wall's Practical Extraction and Report Language        Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-base                      5.24.1-3+deb9u7                armhf  minimal Perl system                                          Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  perl-modules-5.24              5.24.1-3+deb9u7                all    Core Perl modules                                            Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  pi-bluetooth                   0.1.10                         all    Raspberry Pi 3 bluetooth                                     BSD-3-Clause
ii  pinentry-curses                1.0.0-2                        armhf  curses-based PIN or pass-phrase entry dialog for GnuPG       GPL-2+ LGPL-3+ LGPL-3+ or GPL-2+ X11
ii  pkg-config                     0.29-4                         armhf  manage compile and link flags for libraries                  GPL
ii  plymouth                       0.9.2-4+rpi1                   armhf  boot animation, logger and I/O multiplexer                   GPL-2+ other
ii  procps                         2:3.3.12-3+deb9u1              armhf  /proc file system utilities                                  GPL-2.0+ LGPL-2.0+ LGPL-2.1+
ii  psmisc                         22.21-2.1                      armhf  utilities that use the proc file system                      GPL-2+
ii  python                         2.7.13-2                       armhf  interactive high-level object-oriented language (default ver GPL-compatible GPL-compatible licenses
ii  python-apt-common              1.4.3                          all    Python interface to libapt-pkg (locales)                     GPL-2+ Permissive
ii  python-minimal                 2.7.13-2                       armhf  minimal subset of the Python language (default version)      GPL-compatible GPL-compatible licenses
ii  python-rpi.gpio                0.6.5~stretch-1                armhf  Python GPIO module for Raspberry Pi                          MIT
ii  python-serial                  3.2.1-1                        all    pyserial - module encapsulating access for the serial port   unknown
ii  python2.7                      2.7.13-2+deb9u4                armhf  Interactive high-level object-oriented language (version 2.7 Apache-2.0 GPL-2
ii  python2.7-minimal              2.7.13-2+deb9u4                armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  python3                        3.5.3-1                        armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  python3-apt                    1.4.3                          armhf  Python 3 interface to libapt-pkg                             GPL-2+ Permissive
ii  python3-gi                     3.22.0-2                       armhf  Python 3 bindings for gobject-introspection libraries        Expat LGPL-2.1+
ii  python3-minimal                3.5.3-1                        armhf  minimal subset of the Python language (default python3 versi GPL-compatible GPL-compatible licenses
ii  python3.5                      3.5.3-1+deb9u4                 armhf  Interactive high-level object-oriented language (version 3.5 Apache-2.0 GPL-2
ii  python3.5-minimal              3.5.3-1+deb9u4                 armhf  Minimal subset of the Python language (version 3.5)          Apache-2.0 GPL-2
ii  raspberrypi-bootloader         1.20190819~stretch-1           armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  raspberrypi-kernel             1.20190819~stretch-1           armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  raspberrypi-net-mods           1.2.7                          all    Network configuration for the Raspberry Pi UI                unknown
ii  raspberrypi-sys-mods           20181127                       armhf  System tweaks for the Raspberry Pi                           BSD-3-Clause
ii  raspbian-archive-keyring       20120528.2                     all    GnuPG archive keys of the raspbian archive                   GPL-2
ii  raspi-config                   20190423                       all    Raspberry Pi configuration tool                              unknown
ii  raspi-copies-and-fills         0.11                           armhf  ARM-accelerated versions of selected functions from string.h BSD-3-Clause
ii  readline-common                7.0-3                          all    GNU readline and history libraries, common files             GFDL GPL-3
ii  rename                         0.20-4                         all    Perl extension for renaming multiple files                   Artistic Artistic or GPL-1+ GPL-1+
ii  rfkill                         0.5-1                          armhf  tool for enabling and disabling wireless devices             unknown
ii  rng-tools                      2-unofficial-mt.14-1           armhf  Daemon to use a Hardware TRNG                                GPL
ii  rpcbind                        0.2.3-0.6                      armhf  converts RPC program numbers into universal addresses        GPL-3
ii  rpi-update                     20140705                       all    Raspberry Pi firmware updating tool                          unknown
ii  rsync                          3.1.2-1+deb9u2                 armhf  fast, versatile, remote (and local) file-copying tool        GPL-3
ii  rsyslog                        8.24.0-1                       armhf  reliable system and kernel logging daemon                    Apache-2.0 BSD-3-clause GPL-3.0+ LGPL-3.0+
ii  screen                         4.5.0-6+deb9u1                 armhf  terminal multiplexer with VT100/ANSI terminal emulation      GPL-3+
ii  sed                            4.4-1                          armhf  GNU stream editor for filtering/transforming text            GPL-3
ii  sensible-utils                 0.0.9+deb9u1                   all    Utilities for sensible alternative selection                 GPL-2
ii  sgml-base                      1.29                           all    SGML infrastructure and SGML catalog file support            GPL-2+
ii  shared-mime-info               1.8-1+deb9u1                   armhf  FreeDesktop.org shared MIME database and spec                GPL
ii  ssh                            1:7.4p1-10+deb9u7              all    secure shell client and server (metapackage)                 BSD-3-clause Beer-ware CORE-SDI-BSD-style Expat-with-advertising-restriction GPL-2 with OpenSSH-linking exception Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  strace                         4.15-2                         armhf  System call tracer                                           unknown
ii  sudo                           1.8.19p1-2.1+deb9u3            armhf  Provide limited super user privileges to specific users      unknown
ii  systemd                        232-25+deb9u12                 armhf  system and service manager                                   CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  systemd-sysv                   232-25+deb9u12                 armhf  system and service manager - SysV links                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  sysvinit-utils                 2.88dsf-59.9                   armhf  System-V-like utilities                                      GPL-2
ii  tar                            1.29b-1.1                      armhf  GNU version of the tar archiving utility                     GPL-2 GPL-3
ii  tasksel                        3.39                           all    tool for selecting tasks for installation on Debian systems  GPL-2
ii  tasksel-data                   3.39                           all    official tasks used for installation of Debian systems       GPL-2
ii  tcpd                           7.6.q-26                       armhf  Wietse Venema's TCP wrapper utilities                        unknown
ii  traceroute                     1:2.1.0-2                      armhf  Traces the route taken by packets over an IPv4/IPv6 network  GPL-2+ LGPL-2.1+
ii  tree                           1.7.0-5                        armhf  displays an indented directory tree, in color                GPL GPL-2
ii  triggerhappy                   0.5.0-1                        armhf  global hotkey daemon for Linux                               GPL-3+
ii  tzdata                         2021a-0+deb9u1                 all    time zone and daylight-saving time data                      public domain
ii  ucf                            3.0036                         all    Update Configuration File(s): preserve user changes to confi GPL-2
